gene 	 shG9a_E2-
RP11-425L10.1 	 48
ESYT2 	 5731
RPS3AP5 	 698
RPL5 	 3277
NR2F2 	 7408
PPIC 	 3648
ZBTB2 	 2950
UFL1 	 4496
PIP4K2A 	 2620
LMAN1 	 4046
KIAA1737 	 4668
LNX2 	 3988
KITLG 	 3762
YY1 	 3522
FAM127A 	 4449
RRP15 	 3535
ANKS1A 	 3803
BCAS2 	 4248
RFWD3 	 2582
ANKRD40 	 4992
MARCH5 	 3050
GNPTAB 	 4291
RPS28 	 2683
NOP9 	 2838
TH1L 	 2462
PBX1 	 2294
BBX 	 4184
ARHGEF17 	 3176
LSG1 	 3363
LYPLA1 	 3907
METTL21A 	 402
G6PC3 	 3363
OSBP 	 4346
UBE2Q1 	 4380
PIP4K2B 	 2612
RRN3 	 2999
KIF3B 	 4238
AKIRIN2 	 3772
RPL13P12 	 2895
RBPJ 	 3432
BLVRB 	 5146
RHOU 	 2902
FUS 	 2053
ANKRD27 	 6116
RPL29 	 949
ADAMTSL3 	 1468
EPM2AIP1 	 2320
CDS1 	 6181
MOCS3 	 2981
APH1A 	 3471
CCDC124 	 3641
PSKH1 	 3540
TOR3A 	 3324
WDFY1 	 3131
PSMB4 	 4141
DUSP1 	 8690
JMY 	 3552
ZNF622 	 3663
EIF5A 	 2900
PRR12 	 3547
CBL 	 5525
SLC6A14 	 2700
MRPL14 	 2918
EGR1 	 2136
ZNF581 	 2247
RAP2C 	 4485
SAPCD2 	 2459
NCLN 	 3812
NAGLU 	 3961
C6orf120 	 4160
ADO 	 3168
NOMO2 	 2109
PLAC2 	 3113
NME1 	 3440
FZD8 	 1189
PNRC1 	 4651
FTSJD2 	 3099
RP11-841C19.6 	 304
SDC3 	 3443
PAFAH1B1 	 3551
SH3BGRL 	 9349
RNF115 	 3774
TAF15 	 3355
UBXN7 	 3334
STAT3 	 5770
LONRF2 	 4393
FAM8A1 	 4041
SAMD1 	 1723
CD2BP2 	 2353
PRKCZ 	 0
MTND6P4 	 1839
SETD1A 	 2958
SMG5 	 3040
TUBG1 	 3030
SMC3 	 2690
AP1S1 	 3000
GTF2A1 	 3440
C5orf51 	 3194
STC1 	 2500
EIF3I 	 2801
CIAO1 	 2517
ZNF33B 	 3306
RNF26 	 3250
LETM1 	 2601
MESDC1 	 3544
IFI30 	 2931
LRP3 	 3607
LXN 	 3682
SNRNP200 	 3245
OTUD4 	 3358
AC074117.10 	 602
SLC7A5 	 2559
KCTD5 	 3047
GOT2 	 3168
HIATL1 	 4259
SIPA1L3 	 3677
GSPT1 	 3298
ABRACL 	 4770
MAP3K1 	 5930
STMN3 	 3759
WDPCP 	 253
RPRD1A 	 2550
ENDOD1 	 6376
SAFB2 	 2862
PLEKHF2 	 6050
CSNK2A2 	 3170
DDX60 	 4557
HNRNPA2B1 	 2665
RHOQ 	 4704
DNAJB9 	 4958
NOA1 	 3119
ITGA2 	 6215
ZDHHC7 	 7386
GLT25D1 	 3840
CCDC117 	 2949
KDM4A 	 3314
GINM1 	 4528
C4orf3 	 3447
PIM3 	 4684
ACAA2 	 4636
NBPF12 	 23
IQGAP1 	 3761
MBTPS1 	 3736
IFFO2 	 14077
SURF6 	 3273
ZMAT2 	 2924
IFIT5 	 2979
PTP4A2 	 3002
SH3GL1 	 4726
PRKAA1 	 3691
TNFAIP1 	 6171
CHMP2A 	 2627
EMB 	 4086
HECA 	 4416
VPS25 	 2999
RN7SL2 	 519
PRSS23 	 3936
DHX9 	 3023
SESN2 	 5657
VAPB 	 2925
DERL1 	 2662
MCM6 	 2166
HS2ST1 	 2815
RAB32 	 7752
SPANXA1 	 165
RPL37 	 2116
SPR 	 2308
SPANXA2 	 176
SNTB2 	 3129
GPS1 	 3236
SP2 	 3555
RP11-867G23.3 	 3423
RLIM 	 2957
ZFP36 	 4510
CTDSP1 	 3520
TRUB1 	 2930
RC3H2 	 3301
DYNLT3 	 3146
YIPF2 	 3597
KLHDC5 	 4557
VCPIP1 	 3026
ARL8B 	 3436
MTND1P23 	 662
SGTA 	 2597
CTB-54D4.1 	 35
CC2D1A 	 3533
PRICKLE2 	 3219
POLR2C 	 2717
ERLIN2 	 3130
GSTM3 	 958
MBOAT7 	 2988
H2AFV 	 2032
SDF2 	 2549
CDKN1B 	 3798
YBX1P1 	 1692
GADD45GIP1 	 3637
KIAA1161 	 5553
ZNF84 	 965
CEBPZ 	 2509
THAP11 	 1812
CKS2 	 2024
ERP44 	 4437
ARMC1 	 3047
GCC1 	 3620
KPNA3 	 3899
ABL1 	 2837
CSTF2T 	 2500
NFYA 	 2417
IRF2BP1 	 2357
MRPS10 	 3316
PHF10 	 2444
FAM103A1 	 2697
CUL4B 	 3842
KCNJ3 	 2831
CREB3L2 	 2218
CYR61 	 8712
SRSF2 	 2016
SCCPDH 	 5729
CTGF 	 10403
ARL8A 	 4138
ADNP2 	 2859
ZBTB5 	 2754
ARID5B 	 7964
MSX2 	 2695
ARSD 	 2507
LNPEP 	 3619
HIF1AN 	 2983
RAD23A 	 2935
THAP4 	 2583
MOB1B 	 2756
CETN2 	 3984
PRKAR2A 	 2203
PSMB1 	 3429
TLE1 	 2395
BOD1L1 	 3783
YIPF6 	 2648
HPDL 	 992
FEM1A 	 2701
FAM115A 	 3449
AR 	 1885
PRDX2 	 1529
PPT1 	 4611
INTS5 	 1987
TUBB2A 	 2038
PLAGL2 	 3352
GOSR1 	 1618
PHLDA3 	 6657
AC022431.1 	 1739
TRIB3 	 2640
COPZ1 	 3071
RP11-466H18.1 	 379
RANBP9 	 3040
BRD3 	 3186
LRRC47 	 2818
C5orf45 	 382
SF3B14 	 2617
RLF 	 4138
SRSF10 	 1222
TAGLN 	 17438
PFDN5 	 2368
EDN1 	 12440
ANGEL1 	 2254
ABT1 	 3165
STK11 	 2582
EEA1 	 3660
RP11-662G23.1 	 984
PRKX 	 1617
RRP36 	 3073
MAVS 	 3370
SEC62 	 2773
DDI2 	 2847
KM-PA-2 	 1142
RASSF3 	 8100
NR2F6 	 3504
LYPD3 	 7189
WDR33 	 2667
INTS2 	 2495
CTD-2119F7.2 	 1157
KIAA1143 	 2046
SPAG9 	 3784
MMP15 	 2968
LSM3 	 3041
SLC25A23 	 3917
KIAA1147 	 4283
ZZEF1 	 2542
RP11-121L10.3 	 985
IPO9 	 2952
ETV3 	 2965
PSMD5 	 3608
CXCL12 	 860
RPS10P3 	 12
RP11-192H23.4 	 346
BCL2L2 	 2860
CREBL2 	 3920
BCL9 	 2679
OAS2 	 2839
YPEL2 	 5245
CLEC3A 	 3473
SNN 	 3335
VASN 	 8871
SEC23IP 	 2471
VTI1B 	 2544
PCBD1 	 2509
TOMM34 	 2911
EXOSC6 	 1973
RASEF 	 3718
KRCC1 	 3497
UQCR11 	 2318
STK38L 	 7968
CEP350 	 3477
TMEM185B 	 2604
PGAM5 	 1914
UBE2G1 	 2731
CYBA 	 2686
COX7C 	 3393
PDZD8 	 2789
AGGF1 	 2708
RAB11FIP4 	 2405
EEF1A1P12 	 80
ZDHHC20 	 3560
THRAP3 	 2464
CTD-2619J13.14 	 706
PCGF5 	 2014
ZNF260 	 2107
AC009245.3 	 1295
FEN1 	 1867
AC011747.4 	 311
DPY19L4 	 2536
SNX30 	 3657
KLF3 	 4642
RPS26 	 153
MLLT6 	 2276
CORO1C 	 5781
GADD45B 	 3425
MESDC2 	 3353
UTP23 	 2521
KIAA1279 	 3502
NPTXR 	 2555
TMEM178B 	 2655
RAN 	 1050
LRPAP1 	 3423
RAB7A 	 3084
HERC2 	 2250
ATG2B 	 3954
BUB3 	 2317
PRDX5 	 2248
